Transaction_ID,Date,Product_ID,Product_Name,Quantity,Unit_Price,Total_Price,Customer_ID,Payment_Method,Store_Location
1001,2024-01-01,52,Product_1,2,24.054746031295654,322.21668400082706,1901,Debit Card,Store_B
1002,2024-01-02,93,Product_2,8,31.11051640013458,854.6942934125453,1563,Debit Card,Store_B
1003,2024-01-03,15,Product_3,8,96.70121495383592,420.56708240583475,1661,Credit Card,Store_C
1004,2024-01-04,72,Product_4,1,32.977587225558864,844.1334764167771,1780,Debit Card,Store_B
1005,2024-01-05,61,Product_5,3,69.5469115334032,738.1123518583286,1562,Debit Card,Store_A
1006,2024-01-06,21,Product_6,10,98.07681586604774,259.45383274467895,1900,Debit Card,Store_B
1007,2024-01-07,83,Product_7,9,43.68670904258134,556.7017295077679,1758,Cash,Store_A
1008,2024-01-08,87,Product_8,5,11.576439177585602,709.6485893668452,1113,Cash,Store_C
1009,2024-01-09,75,Product_9,6,31.973256138013685,311.5334933234426,1170,Credit Card,Store_A
1010,2024-01-10,75,Product_10,4,84.7789472207535,847.6196594680691,1468,Cash,Store_B
1011,2024-01-11,88,Product_11,10,87.8147952359533,590.344891790668,1678,Debit Card,Store_C
1012,2024-01-12,100,Product_12,2,79.1667428071412,248.7178453983429,1921,Cash,Store_B
1013,2024-01-13,24,Product_13,8,20.179883716891574,624.6859835481422,1014,Credit Card,Store_C
1014,2024-01-14,3,Product_14,6,81.59593345267628,999.7424237403227,1715,Cash,Store_C
1015,2024-01-15,22,Product_15,5,92.68100172941539,235.4693424970722,1288,Debit Card,Store_B
1016,2024-01-16,53,Product_16,9,64.05485882916125,835.0812371075752,1907,Debit Card,Store_B
1017,2024-01-17,2,Product_17,1,94.67878207042584,286.57810286880215,1189,Credit Card,Store_C
1018,2024-01-18,88,Product_18,5,84.41549953406897,804.1494965140786,1914,Cash,Store_C
1019,2024-01-19,30,Product_19,6,70.02743652918166,761.1201308092719,1155,Cash,Store_B
1020,2024-01-20,38,Product_20,5,61.94667130405733,370.44044704038913,1567,Cash,Store_A
1021,2024-01-21,2,Product_21,6,41.371630051777345,393.24080580800484,1694,Debit Card,Store_B
1022,2024-01-22,64,Product_22,6,24.33587007185246,813.2692527666272,1722,Credit Card,Store_C
1023,2024-01-23,60,Product_23,7,64.44585304214868,515.3009606985813,1888,Cash,Store_B
1024,2024-01-24,21,Product_24,4,38.63003982563075,757.7362258406279,1471,Debit Card,Store_A
1025,2024-01-25,33,Product_25,8,87.97948007748809,233.18573262925128,1075,Debit Card,Store_B
1026,2024-01-26,76,Product_26,7,99.40032436227656,867.3020037113981,1277,Debit Card,Store_C
1027,2024-01-27,58,Product_27,9,77.71849863540153,739.7962450140872,1940,Cash,Store_B
1028,2024-01-28,22,Product_28,7,18.14335257583457,916.2485279513505,1645,Cash,Store_C
1029,2024-01-29,89,Product_29,3,35.98170359775743,219.13514113147522,1343,Cash,Store_C
1030,2024-01-30,49,Product_30,3,19.819866858917475,633.7130503245379,1425,Cash,Store_B
1031,2024-01-31,91,Product_31,8,68.54604830125442,639.2085265362927,1571,Cash,Store_C
1032,2024-02-01,59,Product_32,5,78.86717781002062,418.1146664921042,1511,Cash,Store_C
1033,2024-02-02,42,Product_33,4,93.31073477926407,512.619782112332,1857,Cash,Store_A
1034,2024-02-03,92,Product_34,8,49.43551117707889,134.18340696086813,1182,Cash,Store_A
1035,2024-02-04,60,Product_35,6,91.12380846295999,771.2740347643108,1458,Cash,Store_A
1036,2024-02-05,80,Product_36,2,89.01020431371948,594.3902314628566,1918,Debit Card,Store_A
1037,2024-02-06,15,Product_37,4,38.54761450888587,151.9669466822564,1851,Cash,Store_C
1038,2024-02-07,62,Product_38,4,88.2010562986514,712.680303664437,1833,Credit Card,Store_B
1039,2024-02-08,62,Product_39,6,43.81050266935539,520.1038695080691,1064,Debit Card,Store_C
1040,2024-02-09,47,Product_40,6,36.71823471042527,131.0151334825,1839,Cash,Store_C
1041,2024-02-10,62,Product_41,1,68.41671929149538,972.6469541632858,1260,Credit Card,Store_C
1042,2024-02-11,51,Product_42,8,39.5543105096573,954.2009287804964,1193,Cash,Store_B
1043,2024-02-12,55,Product_43,6,66.71878734962297,561.6121745324779,1655,Credit Card,Store_A
1044,2024-02-13,64,Product_44,3,64.8848624948825,184.30517863531918,1616,Credit Card,Store_C
1045,2024-02-14,3,Product_45,9,60.709503461361294,779.1590994387326,1972,Credit Card,Store_C
1046,2024-02-15,51,Product_46,2,44.23777338095179,542.7379900951562,1406,Credit Card,Store_A
1047,2024-02-16,7,Product_47,8,59.364974948632906,372.2027304604419,1726,Debit Card,Store_C
1048,2024-02-17,21,Product_48,10,63.683692748687946,542.2763597757012,1754,Debit Card,Store_B
1049,2024-02-18,73,Product_49,3,59.111819964592605,570.199730864918,1943,Credit Card,Store_C
